"type:text:p","companyid:integer:p:company[companyname]","minkilo:integer:p","maxkilo:integer","fare:integer:n"
"A1","本州",1,3,140
"A1","本州",4,6,180
"A1","本州",7,10,190
"A1","本州",11,15,230
"A1","本州",16,20,320
"A1","本州",21,25,400
"A1","本州",26,30,480
"A1","本州",31,35,570
"A1","本州",36,40,650
"A1","本州",41,45,740
"A1","本州",46,50,820
"A1","本州",51,60,950
"A1","本州",61,70,1110
"A1","本州",71,80,1280
"A1","本州",81,90,1450
"A1","本州",91,100,1620
"A1","本州",101,120,1890
"A1","本州",121,140,2210
"A1","本州",141,160,2520
"A1","本州",161,180,2940
"A1","本州",181,200,3260
"A1","本州",201,220,3570
"A1","本州",221,240,3890
"A1","本州",241,260,4310
"A1","本州",261,280,4620
"A1","本州",281,300,4940
"A1","本州",301,320,5250
"A1","本州",321,340,5460
"A1","本州",341,360,5780
"A1","本州",361,380,6090
"A1","本州",381,400,6300
"A1","本州",401,420,6620
"A1","本州",421,440,6830
"A1","本州",441,460,7140
"A1","本州",461,480,7350
"A1","本州",481,500,7670
"A1","本州",501,520,7980
"A1","本州",521,540,8190
"A1","本州",541,560,8510
"A1","本州",561,580,8720
"A1","本州",581,600,9030
"A1","本州",601,640,9350
"A1","本州",641,680,9560
"A1","本州",681,720,9870
"A1","本州",721,760,10190
"A1","本州",761,800,10500
"A1","本州",801,840,10820
"A1","本州",841,880,11030
"A1","本州",881,920,11340
"A1","本州",921,960,11660
"A1","本州",961,1000,11970
"A1","本州",1001,1040,12290
"A1","本州",1041,1080,12600
"A1","本州",1081,1120,12810
"A1","本州",1121,1160,13130
"A1","本州",1161,1200,13440
"A1","本州",1201,1240,13760
"A1","本州",1241,1280,14070
"A1","本州",1281,1320,14390
"A1","本州",1321,1360,14600
"A1","本州",1361,1400,14910
"A1","本州",1401,1440,15230
"A1","本州",1441,1480,15540
"A1","本州",1481,1520,15860
"A1","本州",1521,1560,16070
"A1","本州",1561,1600,16380
"A1","本州",1601,1640,16700
"A1","本州",1641,1680,17010
"A1","本州",1681,1720,17330
"A1","本州",1721,1760,17640
"A1","本州",1761,1800,17850
"A1","本州",1801,1840,18170
"A1","本州",1841,1880,18480
"A1","本州",1881,1920,18800
"A1","本州",1921,1960,19110
"A1","本州",1961,2000,19320
"A1","本州",2001,2040,19640
"A1","本州",2041,2080,19950
"A1","本州",2081,2120,20270
"A1","本州",2121,2160,20580
"A1","本州",2161,2200,20900
"A1","本州",2201,2240,21110
"A1","本州",2241,2280,21420
"A1","本州",2281,2320,21740
"A1","本州",2321,2360,22050
"A1","本州",2361,2400,22370
"A1","本州",2401,2440,22580
"A1","本州",2441,2480,22890
"A1","本州",2481,2520,23210
"A1","本州",2521,2560,23520
"A1","本州",2561,2600,23840
"A1","本州",2601,2640,24150
"A1","本州",2641,2680,24360
"A1","本州",2681,2720,24680
"A1","本州",2721,2760,24990
"A1","本州",2761,2800,25310
"A1","本州",2801,2840,25620
"A1","本州",2841,2880,25830
"A1","本州",2881,2920,26150
"A1","本州",2921,2960,26460
"A1","本州",2961,3000,26780
"A1","本州",3001,3040,27090
"A1","本州",3041,3080,27410
"A1","本州",3081,3120,27620
"A1","本州",3121,3160,27930
"A1","本州",3161,3200,28250
"A1","本州",3201,3240,28560
"A1","本州",3241,3280,28880
