name:text:u,yomi:text:u,is_main:integer,company:integer::company[name]
東北新幹線,とうほくしんかんせん,1,本州
上越新幹線,じょうえつしんかんせん,1,本州
北陸新幹線,ほくりくしんかんせん,1,本州
東海道新幹線,とうかいどうしんかんせん,1,本州
山陽新幹線,さんようしんかんせん,0,本州
九州新幹線,きゅうしゅうしんかんせん,1,九州
宗谷,そうや,0,北海道
石北,せきほく,0,北海道
根室,ねむろ,1,北海道
富良野,ふらの,0,北海道
石勝1,せきしょう1,1,北海道
石勝2,せきしょう2,1,北海道
留萌,るもい,0,北海道
札沼,さっしょう,0,北海道
千歳1,ちとせ1,1,北海道
千歳2,ちとせ2,1,北海道
室蘭1,むろらん1,1,北海道
室蘭2,むろらん2,1,北海道
日高,ひだか,0,北海道
函館1,はこだて1,1,北海道
函館2,はこだて2,1,北海道
江差,えさし,0,北海道
津軽海峡,つがるかいきょう,0,北海道
津軽,つがる,0,本州
奥羽,おうう,1,本州
五能,ごのう,0,本州
大湊,おおみなと,0,本州
米坂,よねざか,0,本州
八戸,はちのへ,0,本州
花輪,はなわ,0,本州
東北1,とうほく1,1,本州
東北2,とうほく2,1,本州
東北3,とうほく3,1,本州
岩泉,いわいずみ,0,本州
山田,やまだ,0,本州
釜石,かまいし,0,本州
田沢湖,たざわこ,0,本州
男鹿,おが,0,本州
北上,きたかみ,0,本州
大船渡,おおふなと,0,本州
気仙沼,けせんぬま,0,本州
石巻,いしのまき,0,本州
陸羽東,りくうとう,0,本州
陸羽西,りくうさい,0,本州
左沢,あてらざわ,0,本州
仙山,せんざん,1,本州
仙石,せんせき,1,本州
磐越東,ばんえつとう,0,本州
磐越西,ばんえつさい,1,本州
常盤,じょうばん,1,本州
水郡1,すいぐん1,0,本州
水郡2,すいぐん2,0,本州
水戸,みと,1,本州
只見,ただみ,0,本州
羽越,うえつ,1,本州
白新,はくしん,1,本州
信越1,しんえつ1,1,本州
信越2,しんえつ2,1,本州
越後,えちご,0,本州
弥彦,やひこ,0,本州
飯山,いいやま,0,本州
篠ノ井,しののい,1,本州
上越,じょうえつ,1,本州
高崎,たかさき,1,本州
両毛,りょうもう,1,本州
吾妻,あがつま,0,本州
烏山,からすやま,0,本州
日光,にっこう,0,本州
川越,かわごえ,1,本州
八高,はちこう,0,本州
埼京,さいきょう,1,本州
赤羽,あかばね,1,本州
成田1,なりた1,1,本州
成田2,なりた2,1,本州
成田3,なりた3,1,本州
鹿島,かしま,0,本州
総武1,そうぶ1,1,本州
総武2,そうぶ2,1,本州
外房,そとぼう,1,本州
内房,うちぼう,1,本州
久留里,くるり,0,本州
京葉1,けいよう1,1,本州
京葉2,けいよう2,1,本州
京葉3,けいよう3,1,本州
武蔵野,むさしの,1,本州
山手1,やまのて1,1,本州
山手2,やまのて2,1,本州
東海道1,とうかいどう1,1,本州
東海道2,とうかいどう2,1,本州
横須賀,よこすか,1,本州
南武1,なんぶ1,1,本州
南武2,なんぶ2,1,本州
鶴見1,つるみ1,1,本州
鶴見2,つるみ2,1,本州
鶴見3,つるみ3,1,本州
横浜,よこはま,1,本州
根岸,ねぎし,1,本州
相模,さがみ,1,本州
伊東,いとう,1,本州
中央東1,ちゅうおうとう1,1,本州
中央東2,ちゅうおうとう2,1,本州
青梅,おうめ,1,本州
五日市,いつかいち,1,本州
小海,こうみ,0,本州
御殿場,ごてんば,1,本州
身延,みのぶ,0,本州
飯田,いいだ,0,本州
中央西,ちゅうおうさい,1,本州
太多,たいた,0,本州
高山,たかやま,0,本州
武豊,たけとよ,0,本州
関西,かんさい,1,本州
紀勢,きせい,1,本州
参宮,さんぐう,0,本州
名松,めいしょう,0,本州
北陸,ほくりく,1,本州
大糸,おおいと,0,本州
城端,じょうはな,0,本州
氷見,ひみ,0,本州
七尾,ななお,0,本州
越美北,えつみほく,0,本州
小浜,おばま,0,本州
湖西,こせい,1,本州
草津,くさつ,1,本州
奈良,なら,1,本州
片町,かたまち,1,本州
おおさか東,おおさかひがし,1,本州
桜井,さくらい,0,本州
和歌山,わかやま,0,本州
阪和1,はんわ1,1,本州
阪和2,はんわ2,1,本州
大阪環状,おおさかかんじょう,1,本州
桜島,さくらじま,1,本州
JR東西,JRとうざい,1,本州
山陽1,さんよう1,1,複数
山陽2,さんよう2,1,本州
山陰,さんいん,1,本州
福知山,ふくちやま,1,本州
加古川,かこがわ,0,本州
播但,ばんたん,0,本州
姫新,きしん,0,本州
因美,いんび,0,本州
津山,つやま,0,本州
赤穂,あこう,0,本州
吉備,きび,0,本州
伯備,はくび,1,本州
宇野,うの,1,本州
本四備讃,ほんしびさん,1,複数
境,さかい,0,本州
木次,きすき,0,本州
芸備,げいび,0,本州
福塩,ふくえん,0,本州
三江,さんこう,0,本州
呉,くれ,1,本州
可部,かべ,0,本州
岩徳,がんとく,0,本州
山口,やまぐち,0,本州
宇部,うべ,1,本州
小野田1,おのだ1,0,本州
小野田2,おのだ2,0,本州
美祢,みね,1,本州
予讃1,よさん1,1,四国
予讃2,よさん2,1,四国
内子,うちこ,0,四国
高徳,こうとく,1,四国
